Request_Order,URL,Interaction,Allowed_Official_Source,Result,Used_For_Selection
29,https://www.lseg.com/en/ftse-russell/governance/classification-frameworks,OPENED,YES,Official LSEG governance page states ICB is used for global equity security classification.,YES
30,https://www.lseg.com/en/ftse-russell/indices/geis-icb-indices,SEARCH_RESULT_REVIEWED,YES,"Official global equity ICB index family; confirms global industry framework, not full Frozen row-level membership.",NO_SUPPLEMENTARY
31,https://www.lseg.com/en/ftse-russell/indices/geisac,SEARCH_RESULT_REVIEWED,YES,Official FTSE Global Equity Index Series uses ICB across global equity markets.,NO_SUPPLEMENTARY
32,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/policy-documents/icb-classification-data-form.pdf,SEARCH_RESULT_REVIEWED,YES,Official ICB classification process form; current version evidence.,NO_SUPPLEMENTARY
33,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-china-a-style-index-series-ground-rules.pdf,SEARCH_RESULT_REVIEWED,YES,"Official FTSE China A rules explicitly classify constituents under ICB; example only, not Frozen-wide proof.",NO_SUPPLEMENTARY
34,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-jpx-net-zero-japan-index-series-ground-rules-japanese.pdf,SEARCH_RESULT_REVIEWED,YES,"Official Japan index rules use ICB; example only, not Frozen-wide proof.",NO_SUPPLEMENTARY
35,https://www.lseg.com/en/ftse-russell/equity-country-classification,SEARCH_RESULT_REVIEWED,YES,Official FTSE country-classification resource surfaced during bounded search; not used for sector selection.,NO_SUPPLEMENTARY
36,https://www.lseg.com/en/ftse-russell/indices/russell-1000-icb-capped,SEARCH_RESULT_REVIEWED,YES,Official Russell US ICB sector family; supplementary only.,NO_SUPPLEMENTARY
37,https://www.lseg.com/en/ftse-russell/indices/cnbc,SEARCH_RESULT_REVIEWED,YES,Official global/Asia index family using ICB; supplementary only.,NO_SUPPLEMENTARY
38,https://www.lseg.com/content/dam/ftse-russell/en_us/documents/ground-rules/ftse-bic-50-index-ground-rules.pdf,SEARCH_RESULT_REVIEWED,YES,Official Brazil/India/China index rules surfaced; not sufficient for full Frozen classification proof.,NO_SUPPLEMENTARY
39,https://www.spglobal.com/en/terms-of-use,SEARCH_RESULT_REVIEWED,YES,Official S&P terms surfaced; reinforces license-dependent restrictions for third-party data.,NO_SUPPLEMENTARY
40,https://www.spglobal.com/spdji/en/spice-terms-of-use/,SEARCH_RESULT_REVIEWED,YES,Official S&P tool terms surfaced; supplementary licensing context only.,NO_SUPPLEMENTARY
41,https://www.spglobal.com/spdji/en/governance/regulatory-information/,SEARCH_RESULT_REVIEWED,YES,Official S&P governance resource surfaced; not decisive.,NO_SUPPLEMENTARY
42,https://www.spglobal.com/spdji/en/governance/methodology-and-regulatory-status/,SEARCH_RESULT_REVIEWED,YES,Official S&P methodology/regulatory database surfaced; not decisive.,NO_SUPPLEMENTARY
43,https://www.spglobal.com/spdji/en/methodology/article/sp-us-indices-methodology/,SEARCH_RESULT_REVIEWED,YES,Official S&P U.S. index methodology confirms GICS use for company classifications; not Frozen-wide proof.,NO_SUPPLEMENTARY
