WS_ID,Name,ISIN,Instrument_Type,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Yahoo_Symbol,Alpha_Symbol,Primary_Universe_Index,Index_Tags,Active,Universe_Status,Mapping_Status,Scalable_Tradeability_Status,Source_ID,Source_AsOf,Last_Validated,Share_Class,Notes
WS:XASX:BHP,BHP GROUP LTD,AU000000BHP4,COMMON_STOCK,Australia,BHP,ASX,XASX,AUD,BHP.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:WOW,WOOLWORTHS GROUP LTD,AU000000WOW2,COMMON_STOCK,Australia,WOW,ASX,XASX,AUD,WOW.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:ALL,ARISTOCRAT LEISURE,AU000000ALL7,COMMON_STOCK,Australia,ALL,ASX,XASX,AUD,ALL.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:QBE,QBE INSURANCE GROUP,AU000000QBE9,COMMON_STOCK,Australia,QBE,ASX,XASX,AUD,QBE.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:NST,NORTHERN STAR RESOURCES LTD,AU000000NST8,COMMON_STOCK,Australia,NST,ASX,XASX,AUD,NST.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:COL,COLES GROUP LTD,AU0000030678,COMMON_STOCK,Australia,COL,ASX,XASX,AUD,COL.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:EVN,EVOLUTION MINING,AU000000EVN4,COMMON_STOCK,Australia,EVN,ASX,XASX,AUD,EVN.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:FMG,FORTESCUE LTD,AU000000FMG4,COMMON_STOCK,Australia,FMG,ASX,XASX,AUD,FMG.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:STO,SANTOS,AU000000STO6,COMMON_STOCK,Australia,STO,ASX,XASX,AUD,STO.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:BXB,BRAMBLES,AU000000BXB1,COMMON_STOCK,Australia,BXB,ASX,XASX,AUD,BXB.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:S32,SOUTH32,AU000000S320,COMMON_STOCK,Australia,S32,ASX,XASX,AUD,S32.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:CPU,COMPUTERSHARE LTD,AU000000CPU5,COMMON_STOCK,Australia,CPU,ASX,XASX,AUD,CPU.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:SUN,SUNCORP GROUP,AU000000SUN6,COMMON_STOCK,Australia,SUN,ASX,XASX,AUD,SUN.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:ORG,ORIGIN ENERGY,AU000000ORG5,COMMON_STOCK,Australia,ORG,ASX,XASX,AUD,ORG.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:IAG,INSURANCE AUSTRALIA GROUP,AU000000IAG3,COMMON_STOCK,Australia,IAG,ASX,XASX,AUD,IAG.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:PLS,PLS GROUP LTD,AU000000PLS0,COMMON_STOCK,Australia,PLS,ASX,XASX,AUD,PLS.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:SOL,WASHINGTON H SOUL PATTINSON & COMP,AU000000SOL3,COMMON_STOCK,Australia,SOL,ASX,XASX,AUD,SOL.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:SIG,SIGMA HEALTHCARE,AU000000SIG5,COMMON_STOCK,Australia,SIG,ASX,XASX,AUD,SIG.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:QAN,QANTAS AIRWAYS,AU000000QAN2,COMMON_STOCK,Australia,QAN,ASX,XASX,AUD,QAN.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:LYC,LYNAS RARE EARTHS,AU000000LYC6,COMMON_STOCK,Australia,LYC,ASX,XASX,AUD,LYC.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:BSL,BLUESCOPE STEEL,AU000000BSL0,COMMON_STOCK,Australia,BSL,ASX,XASX,AUD,BSL.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:MPL,MEDIBANK PRIVATE,AU000000MPL3,COMMON_STOCK,Australia,MPL,ASX,XASX,AUD,MPL.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:ALQ,ALS,AU000000ALQ6,COMMON_STOCK,Australia,ALQ,ASX,XASX,AUD,ALQ.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:MIN,MINERAL RESOURCES,AU000000MIN4,COMMON_STOCK,Australia,MIN,ASX,XASX,AUD,MIN.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:TLC,THE LOTTERY CORPORATION LTD,AU0000219529,COMMON_STOCK,Australia,TLC,ASX,XASX,AUD,TLC.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:ASX,ASX LTD,AU000000ASX7,COMMON_STOCK,Australia,ASX,ASX,XASX,AUD,ASX.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:SFR,SANDFIRE RESOURCES,AU000000SFR8,COMMON_STOCK,Australia,SFR,ASX,XASX,AUD,SFR.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:ORI,ORICA,AU000000ORI1,COMMON_STOCK,Australia,ORI,ASX,XASX,AUD,ORI.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:ALD,AMPOL,AU0000088338,COMMON_STOCK,Australia,ALD,ASX,XASX,AUD,ALD.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:RHC,RAMSAY HEALTH CARE,AU000000RHC8,COMMON_STOCK,Australia,RHC,ASX,XASX,AUD,RHC.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:CAR,CAR GROUP,AU000000CAR3,COMMON_STOCK,Australia,CAR,ASX,XASX,AUD,CAR.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:GMD,GENESIS MINERALS,AU000000GMD9,COMMON_STOCK,Australia,GMD,ASX,XASX,AUD,GMD.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:PME,PRO MEDICUS,AU000000PME8,COMMON_STOCK,Australia,PME,ASX,XASX,AUD,PME.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:SHL,SONIC HEALTHCARE,AU000000SHL7,COMMON_STOCK,Australia,SHL,ASX,XASX,AUD,SHL.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:NXT,NEXTDC,AU000000NXT8,COMMON_STOCK,Australia,NXT,ASX,XASX,AUD,NXT.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:TNE,TECHNOLOGY ONE,AU000000TNE8,COMMON_STOCK,Australia,TNE,ASX,XASX,AUD,TNE.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:COH,COCHLEAR,AU000000COH5,COMMON_STOCK,Australia,COH,ASX,XASX,AUD,COH.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:PRU,PERSEUS MINING LTD,AU000000PRU3,COMMON_STOCK,Australia,PRU,ASX,XASX,AUD,PRU.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:REA,REA GROUP LTD,AU000000REA9,COMMON_STOCK,Australia,REA,ASX,XASX,AUD,REA.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:WTC,WISETECH GLOBAL,AU000000WTC3,COMMON_STOCK,Australia,WTC,ASX,XASX,AUD,WTC.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
WS:XASX:RMS,RAMELIUS RESOURCES,AU000000RMS4,COMMON_STOCK,Australia,RMS,ASX,XASX,AUD,RMS.AX,,AU_SP_ASX200,AU_SP_ASX200,TRUE,ACTIVE_VERIFIED,EVIDENCE_CANDIDATE_APPLIED,SCALABLE_NOT_VERIFIED,AU1_EVIDENCE_ADMISSION_GATE,2026-09-03,2026-09-05T19:05:35Z,,AU-1 S&P/ASX 200 Ordinary; local sealed INTEGRATION_READY sha256 2921df416aeb33dd; Evidence Gate; not origin sidecar
