WS_ID,Name,ISIN,Primary_MIC,Primary_Exchange,Primary_Ticker,Primary_Currency,Primary_Universe_Index,v0_39_Static_Symbol_Relation,v0_39_Diagnostic_Classification,Current_Yahoo_Symbol,Static_Candidate_Yahoo_Symbol,Proposed_Yahoo_Symbol,Provider_Listing_Type,Primary_Listing_Status,Provider_Symbol_Status,Corporate_Action_Status,Evidence_Status,Evidence_Confidence,Evidence_Primary_URL,Evidence_Provider_URL,Evidence_Secondary_URL,Evidence_Note,Evidence_AsOf_UTC,Decision,Needs_Price_Verification,Verified_Primary_Ticker,Verified_Share_Class,Research_Status
WS:XBRU:AOO.BR,Aedifica NV/SA,,XBRU,,AOO.BR,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,AOO.BR,AOO.BR,AED.BR,PRIMARY,UNVERIFIED,VERIFIED,NONE / NOT_APPLICABLE,PROVIDER_CONFIRMED_PRIMARY_CHAIN_INCOMPLETE,MEDIUM,https://finance.yahoo.com/quote/AED.BR/profile/,https://finance.yahoo.com/quote/AED.BR/,,Current Yahoo quote identifies Aedifica NV/SA as AED.BR; frozen source AOO.BR. Primary ISIN/instrument chain requires controlled verification before mapping.,2026-09-03T09:24:30.484136+00:00,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,AED,ordinary/common equity; verify instrument chain,RESEARCHED
WS:XBRU:IETB.BR,D'Ieteren Group SA,,XBRU,,IETB.BR,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,IETB.BR,IETB.BR,DIE.BR,PRIMARY,UNVERIFIED,VERIFIED,NONE / NOT_APPLICABLE,PROVIDER_CONFIRMED_PRIMARY_CHAIN_INCOMPLETE,MEDIUM,https://finance.yahoo.com/quote/DIE.BR/profile/,https://finance.yahoo.com/quote/DIE.BR/,,Current Yahoo quote identifies D'Ieteren Group SA as DIE.BR; frozen source IETB.BR. Primary ISIN/instrument chain requires controlled verification before mapping.,2026-09-03T09:24:30.484136+00:00,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,DIE,ordinary/common equity; verify instrument chain,RESEARCHED
WS:XBRU:WDPP.BR,Warehouses De Pauw,,XBRU,,WDPP.BR,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,WDPP.BR,WDPP.BR,WDP.BR,PRIMARY,UNVERIFIED,VERIFIED,NONE / NOT_APPLICABLE,PROVIDER_CONFIRMED_PRIMARY_CHAIN_INCOMPLETE,MEDIUM,https://live.euronext.com/en/product/equities/BE0974349814-XBRU,https://uk.finance.yahoo.com/quote/WDP.BR/,,Current Yahoo quote identifies Warehouses De Pauw as WDP.BR; frozen source WDPP.BR. Primary ISIN/instrument chain requires controlled verification before mapping.,2026-09-03T09:24:30.484136+00:00,CONFIRMED_PROVIDER_SYMBOL_CANDIDATE,YES,WDP,ordinary/common equity; verify instrument chain,RESEARCHED
WS:XCSE:ALKB.CO,,,XCSE,,ALKb.CO,DKK,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,ALKb.CO,ALKB.CO,ALK-B.CO,PRIMARY,VERIFIED,CURRENT_QUOTE_PAGE_FOUND_BUT_ALIAS_AMBIGUITY,SHARE_SPLIT_2022_ISIN_CHANGE_NOTATION_REVIEWED,PRIMARY_AND_PROVIDER_FOUND_ALIAS_REVIEW,MEDIUM,https://ir.alk.net/share-information,https://uk.finance.yahoo.com/quote/ALK-B.CO/,https://ir.alk-abello.com/news-releases/news-release-details/decision-complete-share-split-ratio-120,"Official ALK investor-relations share information identifies ALK-Abelló A/S, ISIN DK0061802139, Copenhagen listing. Official split notice confirms B shares and 2022 ISIN change; Yahoo exposes both ALK-B.CO and ALKB.CO aliases, so provider alias/current-symbol identity needs later price verification. No automatic mapping apply.",2026-09-02T19:35:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,ALK B,B shares,RESEARCHED
WS:XETR:FNTGN.DE,,,XETR,,FNTGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,FNTGn.DE,FNTGN.DE,FNTN.DE,PRIMARY,UNVERIFIED,VERIFIED,UNVERIFIED,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://finance.yahoo.com/quote/FNTN.DE/,,Concrete Yahoo Finance quote page reviewed for the issuer under FNTN.DE. The frozen Xetra RIC-style ticker was checked against the provider symbol. This record remains MEDIUM because the current batch did not capture a complete concrete Deutsche Börse/official primary instrument page plus full ISIN/share-class cross-check for HIGH. No mapping apply.,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,FNTN,,RESEARCHED
WS:XETR:FTKN.DE,,,XETR,,FTKn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,FTKn.DE,FTKN.DE,FTK.DE,PRIMARY,UNVERIFIED,VERIFIED,UNVERIFIED,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://finance.yahoo.com/quote/FTK.DE/,,Concrete Yahoo Finance quote page reviewed for the issuer under FTK.DE. The frozen Xetra RIC-style ticker was checked against the provider symbol. This record remains MEDIUM because the current batch did not capture a complete concrete Deutsche Börse/official primary instrument page plus full ISIN/share-class cross-check for HIGH. No mapping apply.,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,FTK,,RESEARCHED
WS:XETR:G24N.DE,,,XETR,,G24n.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,G24n.DE,G24N.DE,G24.DE,PRIMARY,UNVERIFIED,VERIFIED,UNVERIFIED,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://finance.yahoo.com/quote/G24.DE/,,Concrete Yahoo Finance quote page reviewed for the issuer under G24.DE. The frozen Xetra RIC-style ticker was checked against the provider symbol. This record remains MEDIUM because the current batch did not capture a complete concrete Deutsche Börse/official primary instrument page plus full ISIN/share-class cross-check for HIGH. No mapping apply.,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,G24,,RESEARCHED
WS:XETR:HNRGN.DE,,,XETR,,HNRGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,HNRGn.DE,HNRGN.DE,HNR1.DE,PRIMARY,UNVERIFIED,VERIFIED,UNVERIFIED,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://finance.yahoo.com/quote/HNR1.DE/,,Concrete Yahoo Finance quote page reviewed for the issuer under HNR1.DE. The frozen Xetra RIC-style ticker was checked against the provider symbol. This record remains MEDIUM because the current batch did not capture a complete concrete Deutsche Börse/official primary instrument page plus full ISIN/share-class cross-check for HIGH. No mapping apply.,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,HNR1,,RESEARCHED
WS:XETR:IFXGN.DE,,,XETR,,IFXGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,IFXGn.DE,IFXGN.DE,IFX.DE,PRIMARY,UNVERIFIED,VERIFIED,UNVERIFIED,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://finance.yahoo.com/quote/IFX.DE/,,Concrete Yahoo Finance quote page reviewed for the issuer under IFX.DE. The frozen Xetra RIC-style ticker was checked against the provider symbol. This record remains MEDIUM because the current batch did not capture a complete concrete Deutsche Börse/official primary instrument page plus full ISIN/share-class cross-check for HIGH. No mapping apply.,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,IFX,,RESEARCHED
WS:XETR:LEGN.DE,,,XETR,,LEGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,LEGn.DE,LEGN.DE,LEG.DE,PRIMARY,UNVERIFIED,VERIFIED,UNVERIFIED,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://uk.finance.yahoo.com/quote/LEG.DE/,,"Yahoo Finance concrete quote page identifies LEG Immobilien SE under provider symbol LEG.DE. The frozen Xetra RIC-style source ticker was reviewed; provider identity is plausible, but this batch does not assert HIGH because a concrete Deutsche Börse/official primary instrument page and full ISIN/share-class cross-check were not both captured in the current research record. No mapping apply.",2026-09-02T21:05:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,LEG,,RESEARCHED
WS:XETR:MBGN.DE,,,XETR,,MBGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MBGn.DE,MBGN.DE,MBG.DE,PRIMARY,UNVERIFIED,VERIFIED,UNVERIFIED,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://finance.yahoo.com/quote/MBG.DE/,,"Yahoo Finance concrete quote page identifies Mercedes-Benz Group AG under provider symbol MBG.DE. The frozen Xetra RIC-style source ticker was reviewed; provider identity is plausible, but this batch does not assert HIGH because a concrete Deutsche Börse/official primary instrument page and full ISIN/share-class cross-check were not both captured in the current research record. No mapping apply.",2026-09-02T21:05:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,MBG,,RESEARCHED
WS:XETR:MTXGN.DE,,,XETR,,MTXGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MTXGn.DE,MTXGN.DE,MTX.DE,PRIMARY,UNVERIFIED,VERIFIED,UNVERIFIED,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://finance.yahoo.com/quote/MTX.DE/,,Concrete Yahoo Finance quote page reviewed for the issuer under MTX.DE. The frozen Xetra RIC-style ticker was checked against the provider symbol. This record remains MEDIUM because the current batch did not capture a complete concrete Deutsche Börse/official primary instrument page plus full ISIN/share-class cross-check for HIGH. No mapping apply.,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,MTX,,RESEARCHED
WS:XETR:MUVGN.DE,,,XETR,,MUVGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,MUVGn.DE,MUVGN.DE,MUV2.DE,PRIMARY,UNVERIFIED,VERIFIED,UNVERIFIED,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://finance.yahoo.com/quote/MUV2.DE/,,"Yahoo Finance concrete quote page identifies Münchener Rückversicherungs-Gesellschaft under provider symbol MUV2.DE. The frozen Xetra RIC-style source ticker was reviewed; provider identity is plausible, but this batch does not assert HIGH because a concrete Deutsche Börse/official primary instrument page and full ISIN/share-class cross-check were not both captured in the current research record. No mapping apply.",2026-09-02T21:05:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,MUV2,,RESEARCHED
WS:XETR:PSHG_P.DE,,,XETR,,PSHG_p.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,PSHG_p.DE,PSHG_P.DE,PSH2.DE,PRIMARY,UNVERIFIED,VERIFIED,UNVERIFIED,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://finance.yahoo.com/quote/PSH2.DE/,,"Yahoo Finance concrete quote page identifies Porsche Automobil Holding SE preference shares under provider symbol PSH2.DE. The frozen Xetra RIC-style source ticker was reviewed; provider identity is plausible, but this batch does not assert HIGH because a concrete Deutsche Börse/official primary instrument page and full ISIN/share-class cross-check were not both captured in the current research record. No mapping apply.",2026-09-02T21:05:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,PSH2,,RESEARCHED
WS:XETR:SATG_P.DE,,,XETR,,SATG_p.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,SATG_p.DE,SATG_P.DE,SRT3.DE,PRIMARY,UNVERIFIED,VERIFIED,UNVERIFIED,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://uk.finance.yahoo.com/quote/SRT3.DE/,,"Yahoo Finance concrete quote page identifies Sartorius AG preference shares under provider symbol SRT3.DE. The frozen Xetra RIC-style source ticker was reviewed; provider identity is plausible, but this batch does not assert HIGH because a concrete Deutsche Börse/official primary instrument page and full ISIN/share-class cross-check were not both captured in the current research record. No mapping apply.",2026-09-02T21:05:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,SRT3,,RESEARCHED
WS:XETR:SDFGN.DE,,,XETR,,SDFGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,SDFGn.DE,SDFGN.DE,SDF.DE,PRIMARY,UNVERIFIED,VERIFIED,UNVERIFIED,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://finance.yahoo.com/quote/SDF.DE/,,Concrete Yahoo Finance quote page reviewed for the issuer under SDF.DE. The frozen Xetra RIC-style ticker was checked against the provider symbol. This record remains MEDIUM because the current batch did not capture a complete concrete Deutsche Börse/official primary instrument page plus full ISIN/share-class cross-check for HIGH. No mapping apply.,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,SDF,,RESEARCHED
WS:XETR:SIEGN.DE,,,XETR,,SIEGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,SIEGn.DE,SIEGN.DE,SIE.DE,PRIMARY,UNVERIFIED,VERIFIED,UNVERIFIED,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://finance.yahoo.com/quote/SIE.DE/,,Concrete Yahoo Finance quote page reviewed for the issuer under SIE.DE. The frozen Xetra RIC-style ticker was checked against the provider symbol. This record remains MEDIUM because the current batch did not capture a complete concrete Deutsche Börse/official primary instrument page plus full ISIN/share-class cross-check for HIGH. No mapping apply.,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,SIE,,RESEARCHED
WS:XETR:TLXGN.DE,,,XETR,,TLXGn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,TLXGn.DE,TLXGN.DE,TLX.DE,PRIMARY,UNVERIFIED,VERIFIED,UNVERIFIED,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://finance.yahoo.com/quote/TLX.DE/,,Concrete Yahoo Finance quote page reviewed for the issuer under TLX.DE. The frozen Xetra RIC-style ticker was checked against the provider symbol. This record remains MEDIUM because the current batch did not capture a complete concrete Deutsche Börse/official primary instrument page plus full ISIN/share-class cross-check for HIGH. No mapping apply.,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,TLX,,RESEARCHED
WS:XETR:TUI1N.DE,,,XETR,,TUI1n.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,TUI1n.DE,TUI1N.DE,TUI1.DE,PRIMARY,UNVERIFIED,VERIFIED,UNVERIFIED,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://uk.finance.yahoo.com/quote/TUI1.DE/,,"Yahoo Finance concrete quote page identifies TUI AG under provider symbol TUI1.DE. The frozen Xetra RIC-style source ticker was reviewed; provider identity is plausible, but this batch does not assert HIGH because a concrete Deutsche Börse/official primary instrument page and full ISIN/share-class cross-check were not both captured in the current research record. No mapping apply.",2026-09-02T21:05:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,TUI1,,RESEARCHED
WS:XETR:VNAN.DE,,,XETR,,VNAn.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,VNAn.DE,VNAN.DE,VNA.DE,PRIMARY,UNVERIFIED,VERIFIED,UNVERIFIED,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://finance.yahoo.com/quote/VNA.DE/,,Concrete Yahoo Finance quote page reviewed for the issuer under VNA.DE. The frozen Xetra RIC-style ticker was checked against the provider symbol. This record remains MEDIUM because the current batch did not capture a complete concrete Deutsche Börse/official primary instrument page plus full ISIN/share-class cross-check for HIGH. No mapping apply.,2026-09-02T21:45:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,VNA,,RESEARCHED
WS:XETR:VOWG_P.DE,,,XETR,,VOWG_p.DE,EUR,,CASE_ONLY,CASE_NORMALIZATION_SUSPECT,VOWG_p.DE,VOWG_P.DE,VOW3.DE,PRIMARY,UNVERIFIED,VERIFIED,UNVERIFIED,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://uk.finance.yahoo.com/quote/VOW3.DE/,,"Yahoo Finance concrete quote page identifies Volkswagen AG preference shares under provider symbol VOW3.DE. The frozen Xetra RIC-style source ticker was reviewed; provider identity is plausible, but this batch does not assert HIGH because a concrete Deutsche Börse/official primary instrument page and full ISIN/share-class cross-check were not both captured in the current research record. No mapping apply.",2026-09-02T21:05:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,VOW3,,RESEARCHED
WS:XSWX:ALCC.S,,,XSWX,,ALCC.S,CHF,,SUFFIX_CHANGED,SUFFIX_MAPPING_SUSPECT,ALCC.S,ALCC.SW,ALC.SW,PRIMARY,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://finance.yahoo.com/quote/ALC.SW/,,"XSWX SUFFIX_CHANGED (.S to Yahoo .SW) researched. Alcon Inc. SIX/Swiss listing alias reviewed; Yahoo ALC.SW quote identified. Concrete Yahoo quote URL recorded; full SIX/ISIN chain not uniformly captured in this pass, therefore MEDIUM not HIGH.",2026-09-02T21:27:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,ALC,Registered share,RESEARCHED
WS:XSWX:BKWB.S,,,XSWX,,BKWB.S,CHF,,SUFFIX_CHANGED,SUFFIX_MAPPING_SUSPECT,BKWB.S,BKWB.SW,BKW.SW,PRIMARY,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://finance.yahoo.com/quote/BKW.SW/,,"XSWX SUFFIX_CHANGED (.S to Yahoo .SW) researched. BKW AG SIX listing alias reviewed; Yahoo BKW.SW quote identified. Concrete Yahoo quote URL recorded; full SIX/ISIN chain not uniformly captured in this pass, therefore MEDIUM not HIGH.",2026-09-02T21:27:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,BKW,Registered share,RESEARCHED
WS:XSWX:COTNE.S,,,XSWX,,COTNE.S,CHF,,SUFFIX_CHANGED,SUFFIX_MAPPING_SUSPECT,COTNE.S,COTNE.SW,COTN.SW,PRIMARY,REVIEWED,VERIFIED,NONE / NOT_APPLICABLE,PROVIDER_EVIDENCE_REVIEWED,MEDIUM,,https://finance.yahoo.com/quote/COTN.SW/,,"XSWX SUFFIX_CHANGED (.S to Yahoo .SW) researched. Comet Holding AG; SIX symbol COTN and Yahoo COTN.SW align. Concrete Yahoo quote URL recorded; full SIX/ISIN chain not uniformly captured in this pass, therefore MEDIUM not HIGH.",2026-09-02T21:27:00Z,CONFIRMED_CURRENT_SYMBOL_BUT_PRICE_VERIFY_REQUIRED,YES,COTN,Registered share,RESEARCHED
