WS_ID,Name,Primary_Universe_Index,Original_Status,Original_Reason,Event_Count,Max_Abs_Return,Any_Split_Nearby,Event_Classification,Event_Action,Event_Evidence_URL,Event_Evidence_Note
WS:US:ECHO,EchoStar,US_SP1500,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.7024765850287811,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:US:EFOR,Everforth Inc.,US_SP1500,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.5169428508724174,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:US:KD,Kyndryl,US_SP1500,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.5491698486260228,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:US:LRN,"Stride, Inc.",US_SP1500,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.543737356811574,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:US:MEDP,Medpace,US_SP1500,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.5466524327710254,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:US:MFP,"Midera Food Processing, Inc.",US_SP1500,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.6832579185520362,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:US:MNST,Monster Beverage,US_SP1500,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,6,0.9558900250708592,True,CONFIRMED_SPLIT_RELATED_PROVIDER_MIX,TARGETED_FULL_REFRESH_AFTER_SPLIT,https://investors.monsterbevcorp.com/news-releases/news-release-details/monster-beverage-declares-two-one-stock-split,"Monster announced a 2-for-1 split with split-adjusted trading from 11 Aug 2026. Cached raw closes show alternating approximately 2x/0.5x levels, so refresh rather than treat them as genuine market moves."
WS:US:MP,MP Materials,US_SP1500,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.5061604564781224,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:US:MRNA,Moderna,US_SP1500,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,1.7696951623021624,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:US:MXL,"MaxLinear, Inc.",US_SP1500,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.761167874301437,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:US:PRIM,Primoris Services Corporation,US_SP1500,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.5011334305618689,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:US:SEZL,Sezzle,US_SP1500,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.7226813251442608,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:US:STRL,Sterling Infrastructure,US_SP1500,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.5222195223052843,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:US:VIR,"Vir Biotechnology, Inc.",US_SP1500,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.58174901817777,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:US:VRRM,Verra Mobility Corporation,US_SP1500,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,1,0.7056574979289665,False,SINGLE_EXTREME_MOVE_EVENT_RESEARCH,TARGETED_EVENT_OR_CORPORATE_ACTION_RESEARCH,,Single >50% close-to-close move without nearby split confirmation.
WS:SRC:ZA_TOP40:2DF0FDC7A9EB6AF3,AB InBev,ZA_TOP40,QUARANTINE,INVALID_OHLC_OR_VOLUME,2,97.23846183144562,False,LIKELY_PROVIDER_SCALE_SWITCH_X100,KEEP_QUARANTINE_SCALE_NORMALIZATION_RESEARCH,,Data-shape classification: repeated approximately 100x / 0.01x close transitions.
WS:SRC:ZA_TOP40:3598A879F2EA6E99,Sanlam,ZA_TOP40,QUARANTINE,INVALID_OHLC_OR_VOLUME,2,98.97602744204409,False,LIKELY_PROVIDER_SCALE_SWITCH_X100,KEEP_QUARANTINE_SCALE_NORMALIZATION_RESEARCH,,Data-shape classification: repeated approximately 100x / 0.01x close transitions.
WS:SRC:ZA_TOP40:3CA42D3A25639D8E,Sasol,ZA_TOP40,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,9,99.0,False,LIKELY_PROVIDER_SCALE_SWITCH_X100,KEEP_QUARANTINE_SCALE_NORMALIZATION_RESEARCH,,Data-shape classification: repeated approximately 100x / 0.01x close transitions.
WS:SRC:ZA_TOP40:5F247CB49B9B155E,Vodacom,ZA_TOP40,QUARANTINE,INVALID_OHLC_OR_VOLUME,2,97.85148514851484,False,LIKELY_PROVIDER_SCALE_SWITCH_X100,KEEP_QUARANTINE_SCALE_NORMALIZATION_RESEARCH,,Data-shape classification: repeated approximately 100x / 0.01x close transitions.
WS:SRC:ZA_TOP40:CCFFACA1ACD941D3,Standard Bank,ZA_TOP40,QUARANTINE,SUSPICIOUS_RETURN_NEEDS_REPAIR,2,100.90393013100436,False,LIKELY_PROVIDER_SCALE_SWITCH_X100,KEEP_QUARANTINE_SCALE_NORMALIZATION_RESEARCH,,Data-shape classification: repeated approximately 100x / 0.01x close transitions.
