registry_type,canonical_feature_name,semantic_definition,formula,source_fields,lookback,normalization,sign_convention,minimum_observations,filtered_series_contract,null_nonfinite_behavior,implementation_reference,master_spec_authority,promotion_version,promotion_status
FEATURE,High60,High_Tech rolling 60 max,High_Tech rolling 60 max,High;Stock_Splits,60 valid observations,as v0.54 canonical implementation,as formula,60,whole invalid bars excluded,None before 60 valid observations; technical valid rows only,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,High252,High_Tech rolling 252 max,High_Tech rolling 252 max,High;Stock_Splits,252 valid observations,as v0.54 canonical implementation,as formula,252,whole invalid bars excluded,None before 252 valid observations; technical valid rows only,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,Low20,Low_Tech rolling 20 min,Low_Tech rolling 20 min,Low;Stock_Splits,20 valid observations,as v0.54 canonical implementation,as formula,20,whole invalid bars excluded,None before 20 valid observations; technical valid rows only,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,Low60,Low_Tech rolling 60 min,Low_Tech rolling 60 min,Low;Stock_Splits,60 valid observations,as v0.54 canonical implementation,as formula,60,whole invalid bars excluded,None before 60 valid observations; technical valid rows only,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,Dist_EMA20,Close_Tech / EMA20 - 1,Close_Tech / EMA20 - 1,Close;Stock_Splits,inherits EMA20,as v0.54 canonical implementation,as formula,20,inherits filtered EMA20,None if close/EMA unavailable/zero; audited post-computation,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,Dist_EMA50,Close_Tech / EMA50 - 1,Close_Tech / EMA50 - 1,Close;Stock_Splits,inherits EMA50,as v0.54 canonical implementation,as formula,50,inherits filtered EMA50,None if close/EMA unavailable/zero; audited post-computation,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,Dist_SMA200,Close_Tech / SMA200 - 1,Close_Tech / SMA200 - 1,Close;Stock_Splits,200 valid observations,as v0.54 canonical implementation,as formula,200,whole invalid bars excluded,None if close/SMA unavailable/zero; audited post-computation,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,Dist_High252,Close_Tech / High252 - 1,Close_Tech / High252 - 1,High;Close;Stock_Splits,252 valid observations,as v0.54 canonical implementation,as formula,252,whole invalid bars excluded,None if close/high unavailable/zero; audited post-computation,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,Range20_Pct,(High20-Low20)/Close_Tech,(High20-Low20)/Close_Tech,High;Low;Close;Stock_Splits,20 valid observations,as v0.54 canonical implementation,as formula,20,whole invalid bars excluded,None if inputs unavailable/close zero; audited post-computation,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,MedianVolume20_Tech,median(last 20 Volume_Tech),median(last 20 Volume_Tech),Volume;Stock_Splits,20 non-null valid volume observations,as v0.54 canonical implementation,as formula,20,whole invalid bars excluded,None if fewer than 20 non-null volume observations; negative non-null volume invalidates raw bar; non-finite result audited,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,MedianTurnover20_Native,median(last 20 Close_Tech*Volume_Tech),median(last 20 Close_Tech*Volume_Tech),Close;Volume;Stock_Splits,20 non-null valid turnover observations,as v0.54 canonical implementation,as formula,20,whole invalid bars excluded,None if fewer than 20 non-null turnover observations; post-computation finite audit,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,R1,one-valid-observation split-normalized close-to-close decimal return,Close_Tech[t] / Close_Tech[t-1 valid observation] - 1,Close;Stock_Splits,1 return interval / 2 valid closes,split-only Close_Tech; decimal return,positive=price increase; negative=decrease,2,whole invalid bars excluded before endpoint selection,None if <=1 valid observation or denominator zero; no zero fill,"scripts/feature_builder.py:_last_return(c,1)",Master §25 Performance R1/R5/R20/R60 + canonical Rn family,v0.55,CANONICAL_IMPLEMENTED_PROMOTED
FEATURE,TrueRange_Current,current True Range on canonical filtered split-only technical series,"max(abs(H_t-L_t),abs(H_t-C_prev_valid),abs(L_t-C_prev_valid))",High;Low;Close;Stock_Splits,current valid bar + previous valid close,native split-normalized price units,nonnegative magnitude,1,whole invalid bars excluded; prev means previous valid observation,None only if no valid TR; no zero fill,scripts/feature_builder.py shared tr primitive used by ATR14,Master §25 Volatilität True Range + canonical ATR14 primitive,v0.55,CANONICAL_IMPLEMENTED_PROMOTED
SEMANTIC_FAMILY,RUNUP_5_20_60_SEMANTICS,Run-up measurement is the existing 5/20/60-day performance triplet,R5;R20;R60,Close;Stock_Splits,5/20/60 valid return intervals,decimal trailing returns,positive=advance,6/21/61,whole invalid bars excluded,inherits canonical R5/R20/R60,scripts/feature_builder.py existing R5/R20/R60,Master §25 Run-up 5/20/60T + §33 Run-up classification: 5-/20-/60-Tage-Performance,v0.55,CANONICAL_SEMANTIC_BINDING_PROMOTED_NO_NEW_COLUMN
