registry_type,canonical_feature_name,semantic_definition,formula,source_fields,lookback,normalization,sign_convention,minimum_observations,filtered_series_contract,null_nonfinite_behavior,implementation_reference,master_spec_authority,promotion_version,promotion_status
FEATURE,High60,High_Tech rolling 60 max,High_Tech rolling 60 max,High;Stock_Splits,60 valid observations,as v0.54 canonical implementation,as formula,60,whole invalid bars excluded,None before 60 valid observations; technical valid rows only,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,High252,High_Tech rolling 252 max,High_Tech rolling 252 max,High;Stock_Splits,252 valid observations,as v0.54 canonical implementation,as formula,252,whole invalid bars excluded,None before 252 valid observations; technical valid rows only,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,Low20,Low_Tech rolling 20 min,Low_Tech rolling 20 min,Low;Stock_Splits,20 valid observations,as v0.54 canonical implementation,as formula,20,whole invalid bars excluded,None before 20 valid observations; technical valid rows only,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,Low60,Low_Tech rolling 60 min,Low_Tech rolling 60 min,Low;Stock_Splits,60 valid observations,as v0.54 canonical implementation,as formula,60,whole invalid bars excluded,None before 60 valid observations; technical valid rows only,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,Dist_EMA20,Close_Tech / EMA20 - 1,Close_Tech / EMA20 - 1,Close;Stock_Splits,inherits EMA20,as v0.54 canonical implementation,as formula,20,inherits filtered EMA20,None if close/EMA unavailable/zero; audited post-computation,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,Dist_EMA50,Close_Tech / EMA50 - 1,Close_Tech / EMA50 - 1,Close;Stock_Splits,inherits EMA50,as v0.54 canonical implementation,as formula,50,inherits filtered EMA50,None if close/EMA unavailable/zero; audited post-computation,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,Dist_SMA200,Close_Tech / SMA200 - 1,Close_Tech / SMA200 - 1,Close;Stock_Splits,200 valid observations,as v0.54 canonical implementation,as formula,200,whole invalid bars excluded,None if close/SMA unavailable/zero; audited post-computation,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,Dist_High252,Close_Tech / High252 - 1,Close_Tech / High252 - 1,High;Close;Stock_Splits,252 valid observations,as v0.54 canonical implementation,as formula,252,whole invalid bars excluded,None if close/high unavailable/zero; audited post-computation,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,Range20_Pct,(High20-Low20)/Close_Tech,(High20-Low20)/Close_Tech,High;Low;Close;Stock_Splits,20 valid observations,as v0.54 canonical implementation,as formula,20,whole invalid bars excluded,None if inputs unavailable/close zero; audited post-computation,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,MedianVolume20_Tech,median(last 20 Volume_Tech),median(last 20 Volume_Tech),Volume;Stock_Splits,20 non-null valid volume observations,as v0.54 canonical implementation,as formula,20,whole invalid bars excluded,None if fewer than 20 non-null volume observations; negative non-null volume invalidates raw bar; non-finite result audited,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,MedianTurnover20_Native,median(last 20 Close_Tech*Volume_Tech),median(last 20 Close_Tech*Volume_Tech),Close;Volume;Stock_Splits,20 non-null valid turnover observations,as v0.54 canonical implementation,as formula,20,whole invalid bars excluded,None if fewer than 20 non-null turnover observations; post-computation finite audit,scripts/feature_builder.py:build_features,v0.54 existing canonical binding,pre-v0.55 retained,CANONICAL_IMPLEMENTED_RETAINED
FEATURE,R1,one-valid-observation split-normalized close-to-close decimal return,Close_Tech[t] / Close_Tech[t-1 valid observation] - 1,Close;Stock_Splits,1 return interval / 2 valid closes,split-only Close_Tech; decimal return,positive=price increase; negative=decrease,2,whole invalid bars excluded before endpoint selection,None if <=1 valid observation or denominator zero; no zero fill,"scripts/feature_builder.py:_last_return(c,1)",Master §25 Performance R1/R5/R20/R60 + canonical Rn family,v0.55,CANONICAL_IMPLEMENTED_PROMOTED
FEATURE,TrueRange_Current,current True Range on canonical filtered split-only technical series,"max(abs(H_t-L_t),abs(H_t-C_prev_valid),abs(L_t-C_prev_valid))",High;Low;Close;Stock_Splits,current valid bar + previous valid close,native split-normalized price units,nonnegative magnitude,1,whole invalid bars excluded; prev means previous valid observation,None only if no valid TR; no zero fill,scripts/feature_builder.py shared tr primitive used by ATR14,Master §25 Volatilität True Range + canonical ATR14 primitive,v0.55,CANONICAL_IMPLEMENTED_PROMOTED
SEMANTIC_FAMILY,RUNUP_5_20_60_SEMANTICS,Run-up measurement is the existing 5/20/60-day performance triplet,R5;R20;R60,Close;Stock_Splits,5/20/60 valid return intervals,decimal trailing returns,positive=advance,6/21/61,whole invalid bars excluded,inherits canonical R5/R20/R60,scripts/feature_builder.py existing R5/R20/R60,Master §25 Run-up 5/20/60T + §33 Run-up classification: 5-/20-/60-Tage-Performance,v0.55,CANONICAL_SEMANTIC_BINDING_PROMOTED_NO_NEW_COLUMN
FEATURE,EMA20_Slope_5,EMA20 slope,EMA20[t]/EMA20[t-5 valid]-1,EMA20,5 valid lag,dimensionless decimal,signed,25,canonical filtered valid EMA series,lag denominator 0 => null; undefined lag => null/capability failure,"scripts/feature_builder.py:_lag_ratio_return(ema20,5)",Master §25 EMA20-Slope,v0.57,CANONICAL_IMPLEMENTED_PROMOTED
FEATURE,EMA50_Slope_10,EMA50 slope,EMA50[t]/EMA50[t-10 valid]-1,EMA50,10 valid lag,dimensionless decimal,signed,60,canonical filtered valid EMA series,lag denominator 0 => null; undefined lag => null/capability failure,"scripts/feature_builder.py:_lag_ratio_return(ema50,10)",Master §25 EMA50-Slope,v0.57,CANONICAL_IMPLEMENTED_PROMOTED
FEATURE,Range5_Pct,5-valid-observation range width,(High5-Low5)/Close_Tech[t],High_Tech;Low_Tech;Close_Tech,5 valid observations,current-close normalized,nonnegative,5,canonical filtered valid series,Close=0 => null; undefined input => null/capability failure,scripts/feature_builder.py:rolling High5/Low5 + _safe_divide,Master §25 short-term range/compression,v0.57,CANONICAL_IMPLEMENTED_PROMOTED
FEATURE,Range10_Pct,10-valid-observation range width,(High10-Low10)/Close_Tech[t],High_Tech;Low_Tech;Close_Tech,10 valid observations,current-close normalized,nonnegative,10,canonical filtered valid series,Close=0 => null; undefined input => null/capability failure,scripts/feature_builder.py:rolling High10/Low10 + _safe_divide,Master §25 short-term range/compression,v0.57,CANONICAL_IMPLEMENTED_PROMOTED
FEATURE,RangeCompression_5_20,5-vs-20 range compression,Range5_Pct/Range20_Pct,Range5_Pct;Range20_Pct,20 valid observations,dimensionless ratio,0..1 when valid,20,canonical filtered valid series,Range20_Pct=0 => null; undefined input => null/capability failure,"scripts/feature_builder.py:_safe_divide(Range5_Pct,Range20_Pct)",Master §25 range/compression,v0.57,CANONICAL_IMPLEMENTED_PROMOTED
FEATURE,RangeCompression_10_20,10-vs-20 range compression,Range10_Pct/Range20_Pct,Range10_Pct;Range20_Pct,20 valid observations,dimensionless ratio,0..1 when valid,20,canonical filtered valid series,Range20_Pct=0 => null; undefined input => null/capability failure,"scripts/feature_builder.py:_safe_divide(Range10_Pct,Range20_Pct)",Master §25 range/compression,v0.57,CANONICAL_IMPLEMENTED_PROMOTED
FEATURE,RVOL20,current relative volume,Volume_Tech[t]/median(Volume_Tech previous 20 valid observations),Volume_Tech,current + previous 20 valid observations,dimensionless ratio,nonnegative,21 + complete volume coverage,canonical filtered valid series,previous median=0 => null; missing/nonfinite current or any baseline volume => null/capability failure,scripts/feature_builder.py:_rvol20_prior_baseline,Master §25 relative volume + §30 RVOL reference,v0.57,CANONICAL_IMPLEMENTED_PROMOTED
FEATURE,Gap_Over_ATR14,signed opening gap over prior ATR14,(Open_Tech[t]-Close_Tech[t-1 valid])/ATR14[t-1 valid],Open_Tech;Close_Tech;ATR14_Wilder_DEV,current + prior valid ATR,dimensionless,signed,15,canonical filtered valid series,prior ATR=0 => null; missing required value => null/capability failure,"scripts/feature_builder.py:_safe_divide(current gap, prior ATR14)",Master §25 Gap/ATR,v0.57,CANONICAL_IMPLEMENTED_PROMOTED
FEATURE,DailyMove_Over_ATR14,signed close-to-close move over prior ATR14,(Close_Tech[t]-Close_Tech[t-1 valid])/ATR14[t-1 valid],Close_Tech;ATR14_Wilder_DEV,current + prior valid ATR,dimensionless,signed,15,canonical filtered valid series,prior ATR=0 => null; missing required value => null/capability failure,"scripts/feature_builder.py:_safe_divide(current close move, prior ATR14)",Master §25 daily movement in ATR,v0.57,CANONICAL_IMPLEMENTED_PROMOTED
FEATURE,Dist_High20,distance to 20-valid-observation rolling high,Close_Tech[t]/High20[t]-1,Close_Tech;High20,20 valid observations,dimensionless decimal,<=0 when valid,20,canonical filtered valid series,High20=0 => null; undefined input => null/capability failure,scripts/feature_builder.py:dist(High20),Master §25 distance to relevant highs,v0.57,CANONICAL_IMPLEMENTED_PROMOTED
FEATURE,Dist_High60,distance to 60-valid-observation rolling high,Close_Tech[t]/High60[t]-1,Close_Tech;High60,60 valid observations,dimensionless decimal,<=0 when valid,60,canonical filtered valid series,High60=0 => null; undefined input => null/capability failure,scripts/feature_builder.py:dist(High60),Master §25 distance to relevant highs,v0.57,CANONICAL_IMPLEMENTED_PROMOTED
SEMANTIC_FAMILY,RECENT_IMPULSE_DESCRIPTORS,continuous recent-impulse context composed from canonical primitives without event threshold,"{R5,R20,R60,DailyMove_Over_ATR14,RVOL20}",constituent canonical features,5/20/60 returns + current/prior-ATR move + previous-20 volume baseline,constituent semantics,returns/move signed; RVOL nonnegative,61 valid observations plus complete current+previous20 volume coverage,inherits all constituent canonical filtered-series rules,any required constituent null => family incomplete/capability failure,v0.57 capability binding to R5;R20;R60;DailyMove_Over_ATR14;RVOL20; no numeric family column,Master §25 recent impulses,v0.57,CANONICAL_SEMANTIC_BINDING_PROMOTED_NO_NEW_COLUMN
